id,cameraImage,licenseplate,timestamp,delay
465,,3-ABC-123,2018-10-22T15:47:52.831323300,100
465,,3-ABC-123,2018-10-22T15:50:47.371357300,100
3,,1-ERR-123,2018-10-22T15:47:52.613911800,100
3,,1-UNK-123,2018-10-22T15:47:52.725608200,100
3,,1-UNK-123,2018-10-22T15:50:47.265646,100
3,,1-ERR-123,2018-10-22T15:50:47.157933,100
3,,1-UNK-123,2018-10-22T15:47:52.942405700,100
3,,1-UNK-123,2018-10-22T15:50:47.477073100,100
465,,3-ABC-123,2018-10-22T15:52:34.515683100,100
3,,1-UNK-123,2018-10-22T15:52:34.404940400,100
3,,1-ERR-123,2018-10-22T15:52:34.293093,100
3,,1-UNK-123,2018-10-22T15:52:34.626349500,100
