id,cameraImage,licenseplate,timestamp,delay
465,,3-ABC-123,2018-10-30T17:58:49.037786100,100
3,,1-UNK-123,2018-10-30T17:58:48.931563,100
3,,1-UNK-123,2018-10-30T17:58:49.144500600,100
3,,1-ERR-123,2018-10-30T17:58:48.825764,100
5,,7-RYO-398,2018-10-30T17:59:11.002028100,1001
5,,2-VFW-344,2018-10-30T17:59:11.002028100,1001
5,,2-VNX-530,2018-10-30T17:59:12.001632300,1000
4,,5-VJQ-485,2018-10-30T17:59:11.003021200,1000
5,,2-ZHN-766,2018-10-30T17:59:10.003011600,993
4,,5-WAN-660,2018-10-30T17:59:10.001017200,992
4,,4-ADX-448,2018-10-30T17:59:09.010453300,0
2,,5-RKF-882,2018-10-30T17:59:09.010453300,0
5,,6-TOV-375,2018-10-30T17:59:09.010453300,0
5,,7-RGT-342,2018-10-30T17:59:10.001017200,992
2,,7-UXI-329,2018-10-30T17:59:10.001017200,992
4,,5-WAN-660,2018-10-30T17:59:10.001017200,992
5,,2-ZHN-766,2018-10-30T17:59:10.003011600,993
5,,7-RYO-398,2018-10-30T17:59:11.002028100,1001
5,,2-VFW-344,2018-10-30T17:59:11.002028100,1001
4,,8-GHP-979,2018-10-30T17:59:11.002028100,1000
4,,5-VJQ-485,2018-10-30T17:59:11.003021200,1000
5,,2-VNX-530,2018-10-30T17:59:12.001632300,1000
1,,3-XIP-676,2018-10-30T17:59:12.002630500,995
1,,2-AAN-630,2018-10-30T17:59:12.003627900,1001
5,,1-ODS-583,2018-10-30T17:59:13.001282900,999
2,,5-OVS-825,2018-10-30T17:59:13.001282900,997
4,,1-NJP-415,2018-10-30T17:59:13.002254200,1000
2,,4-ANU-971,2018-10-30T17:59:13.002254200,1000
1,,1-CFT-161,2018-10-30T17:59:13.002254200,1000
5,,7-YHN-164,2018-10-30T17:59:14.001656800,998
4,,5-JIS-636,2018-10-30T17:59:14.001656800,1000
4,,5-JLX-596,2018-10-30T17:59:15.002506900,1001
4,,2-MHZ-994,2018-10-30T17:59:15.001530700,1000
1,,6-LQO-801,2018-10-30T17:59:14.000658500,998
2,,7-XKC-619,2018-10-30T17:59:14.000658500,998
1,,8-MUQ-680,2018-10-30T17:59:14.001656800,999
5,,7-YHN-164,2018-10-30T17:59:14.001656800,998
4,,5-JIS-636,2018-10-30T17:59:14.001656800,1000
5,,8-UFN-181,2018-10-30T17:59:15.001530700,1000
1,,4-PJR-009,2018-10-30T17:59:15.001530700,999
4,,2-MHZ-994,2018-10-30T17:59:15.001530700,1000
4,,5-JLX-596,2018-10-30T17:59:15.002506900,1001
